PERMNO,HSICCD
10000,3990
10001,4925
10002,6020
10003,6020
10004,5330
10005,1310
10006,3743
10007,7370
10008,3430
10009,6030
10010,3840
10011,7390
10012,3674
10013,5810
10014,3714
10015,5812
10016,3812
10017,3570
10018,7370
10019,3610
10020,6710
10021,7940
10022,3420
10023,8911
10024,3570
10025,3081
10026,2052
10027,7380
10028,5094
10029,8299
10030,3310
10031,5020
10032,3670
10033,6710
10034,6020
10035,5730
10036,3830
10037,6020
10038,4720
10039,7372
10040,6210
10041,7370
10042,1041
10043,8710
10044,2060
10045,5620
10046,8240
10047,5650
10048,4840
10049,2640
10050,3448
10051,4813
10052,5730
10053,5030
10054,8040
10055,7990
10056,6036
10057,3541
10058,5099
10059,1040
10060,1040
10061,6020
10062,3710
10063,8080
10064,3944
10065,6722
10066,7373
10067,2830
10068,6550
10069,5650
10070,3570
10071,6211
10072,2830
10073,3520
10074,3460
10075,7330
10076,3730
10077,5390
10078,3571
10079,7370
10080,5072
10081,1000
10082,4840
10083,7370
10084,5020
10085,6321
10086,6710
10087,5960
10088,7390
10089,3644
10090,4810
10091,3660
10092,7922
10093,7010
10094,5710
10095,2830
10096,6020
10097,1790
10098,3070
10099,3840
10100,8300
10101,3570
10102,2813
10103,3310
10104,7379
10105,5410
10106,6020
10107,7370
10108,7374
10109,6030
10110,3010
10111,6411
10112,8010
10113,6726
10114,7372
10115,6020
10116,2834
10117,7390
10118,4910
10119,6331
10120,6211
10121,6710
10122,6030
10123,7312
10124,7810
10125,8721
10126,6022
10127,2760
10128,3560
10129,4820
10130,6030
10131,6710
10132,6710
10133,3660
10134,5980
10135,6030
10136,3660
10137,4911
10138,6211
10139,6710
10140,2650
10141,5960
10142,3570
10143,2830
10144,8240
10145,3724
10146,3580
10147,3572
10148,5940
10149,6030
10150,7350
10151,6726
10152,3660
10153,3511
10154,3662
10155,3820
10156,6710
10157,6020
10158,1731
10159,8730
10160,7372
10161,1011
10162,3573
10163,3860
10164,4950
10165,6710
10166,4910
10167,5990
10168,2890
10169,3990
10170,5810
10171,3640
10172,6020
10173,6710
10174,6020
10175,5940
10176,4960
10177,7389
10178,2730
10179,6036
10180,2834
10181,6610
10182,5040
10183,1380
10184,2250
10185,2750
10186,6610
10187,8740
10188,3714
10189,7393
10190,3860
10191,4950
10192,4210
10193,7370
10194,7200
10195,4813
10196,4910
10197,3573
10198,2850
10199,5910
10200,2830
10201,4911
10202,3350
10203,6020
10204,7990
10205,6035
10206,2730
10207,6726
10208,7370
10209,2870
10210,6020
10211,6035
10212,3840
10213,6310
10214,3070
10215,3650
10216,8742
10217,2752
10218,3860
10219,3570
10220,3511
10221,3570
10222,5730
10223,7371
10224,4410
10225,3433
10226,2514
10227,1790
10228,6140
10229,4830
10230,6030
10231,6710
