"DATE","vwretx","sprtrn"
"2010-01-04",0.017047,0.016043
"2010-01-05",0.003368,0.003116
"2010-01-06",0.001762,0.000546
"2010-01-07",0.002822,0.004001
"2010-01-08",0.004173,0.002882
"2010-01-11",0.00114,0.001747
"2010-01-12",-0.011005,-0.009381
"2010-01-13",0.008532,0.008326
"2010-01-14",0.002283,0.002427
"2010-01-15",-0.011351,-0.010823
"2010-01-19",0.012054,0.0125
"2010-01-20",-0.011183,-0.010598
"2010-01-21",-0.017797,-0.018945
"2010-01-22",-0.021042,-0.022141
"2010-01-25",0.003891,0.004598
"2010-01-26",-0.004934,-0.004203
"2010-01-27",0.004081,0.00488
"2010-01-28",-0.011441,-0.011818
"2010-01-29",-0.010325,-0.009829
"2010-02-01",0.015084,0.014266
"2010-02-02",0.01222,0.012973
"2010-02-03",-0.005259,-0.005474
"2010-02-04",-0.032029,-0.031141
"2010-02-05",0.002642,0.002897
"2010-02-08",-0.008453,-0.008863
"2010-02-09",0.013847,0.01304
"2010-02-10",-0.001752,-0.002233
"2010-02-11",0.011978,0.00968
"2010-02-12",-0.000789,-0.002745
"2010-02-16",0.017872,0.018001
"2010-02-17",0.004483,0.004238
"2010-02-18",0.006115,0.006585
"2010-02-19",0.002339,0.002187
"2010-02-22",-0.001153,-0.001046
"2010-02-23",-0.013096,-0.012103
"2010-02-24",0.008385,0.00972
"2010-02-25",-0.000905,-0.002081
"2010-02-26",0.001807,0.001405
"2010-03-01",0.011947,0.010159
"2010-03-02",0.004417,0.00233
"2010-03-03",0.001473,0.000429
"2010-03-04",0.003055,0.003736
"2010-03-05",0.014472,0.014008
"2010-03-08",0.000571,-0.000176
"2010-03-09",0.001592,0.001713
"2010-03-10",0.004922,0.004525
"2010-03-11",0.003628,0.004042
"2010-03-12",0.000747,-0.000217
"2010-03-15",-0.000715,0.000452
"2010-03-16",0.008729,0.007779
"2010-03-17",0.00559,0.005822
"2010-03-18",-0.002052,-0.000326
"2010-03-19",-0.006948,-0.005087
"2010-03-22",0.005833,0.005095
"2010-03-23",0.007582,0.007171
"2010-03-24",-0.006646,-0.005493
"2010-03-25",-0.002494,-0.001704
"2010-03-26",0.00067,0.000738
"2010-03-29",0.006603,0.005683
"2010-03-30",0.000344,4.3e-05
"2010-03-31",-0.002803,-0.003273
"2010-04-01",0.008524,0.007414
"2010-04-05",0.009522,0.007928
"2010-04-06",0.002118,0.001684
"2010-04-07",-0.005654,-0.005877
"2010-04-08",0.002794,0.003374
"2010-04-09",0.006699,0.006684
"2010-04-12",0.001755,0.001767
"2010-04-13",0.000631,0.000685
"2010-04-14",0.01229,0.01115
"2010-04-15",8.2e-05,0.000843
"2010-04-16",-0.016122,-0.016127
"2010-04-19",0.002253,0.004521
"2010-04-20",0.009766,0.008058
"2010-04-21",-0.000562,-0.001019
"2010-04-22",0.00354,0.002264
"2010-04-23",0.007443,0.007124
"2010-04-26",-0.003237,-0.004296
"2010-04-27",-0.023853,-0.023382
"2010-04-28",0.005038,0.006463
"2010-04-29",0.013546,0.012943
"2010-04-30",-0.016855,-0.016648
"2010-05-03",0.012821,0.013121
"2010-05-04",-0.025378,-0.023838
"2010-05-05",-0.009486,-0.006561
"2010-05-06",-0.032662,-0.032378
"2010-05-07",-0.015865,-0.015308
"2010-05-10",0.044865,0.043974
"2010-05-11",-0.001091,-0.003397
"2010-05-12",0.01592,0.01374
"2010-05-13",-0.010893,-0.012145
"2010-05-14",-0.019435,-0.0188
"2010-05-17",-0.00071,0.001109
"2010-05-18",-0.013785,-0.014196
"2010-05-19",-0.007246,-0.00513
"2010-05-20",-0.04044,-0.038976
"2010-05-21",0.015267,0.015024
"2010-05-24",-0.012134,-0.012908
"2010-05-25",-0.000173,0.000354
"2010-05-26",-0.003071,-0.005661
"2010-05-27",0.034826,0.032876
"2010-05-28",-0.011837,-0.012375
"2010-06-01",-0.018575,-0.017165
"2010-06-02",0.026427,0.025843
"2010-06-03",0.004745,0.004051
