PERMNO,date,NCUSIP,TICKER,COMNAM,PERMCO,CUSIP
10026,2024-12-30,46603210,JJSF,J & J SNACK FOODS CORP,7976,46603210
10026,2024-12-31,46603210,JJSF,J & J SNACK FOODS CORP,7976,46603210
10028,2024-12-30,29402E10,ELA,ENVELA CORP,7978,29402E10
10028,2024-12-31,29402E10,ELA,ENVELA CORP,7978,29402E10
10032,2024-12-30,72913210,PLXS,PLEXUS CORP,7980,72913210
10032,2024-12-31,72913210,PLXS,PLEXUS CORP,7980,72913210
10044,2024-12-30,77467X10,RMCF,ROCKY MOUNTAIN CHOC FAC INC NEW,7992,77467X10
10044,2024-12-31,77467X10,RMCF,ROCKY MOUNTAIN CHOC FAC INC NEW,7992,77467X10
10065,2024-12-30,00621210,ADX,ADAMS EXPRESS CO,20023,00621210
10065,2024-12-31,00621210,ADX,ADAMS EXPRESS CO,20023,00621210
10066,2024-12-30,35518410,FKWL,FRANKLIN WIRELESS CORP,6331,35518410
10066,2024-12-31,35518410,FKWL,FRANKLIN WIRELESS CORP,6331,35518410
10104,2024-12-30,68389X10,ORCL,ORACLE CORP,8045,68389X10
10104,2024-12-31,68389X10,ORCL,ORACLE CORP,8045,68389X10
10107,2024-12-30,59491810,MSFT,MICROSOFT CORP,8048,59491810
10107,2024-12-31,59491810,MSFT,MICROSOFT CORP,8048,59491810
10113,2024-12-30,00768Y20,AADR,ADVISORSHARES TRUST,53202,00768Y20
10113,2024-12-31,00768Y20,AADR,ADVISORSHARES TRUST,53202,00768Y20
10138,2024-12-30,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10
10138,2024-12-31,74144T10,TROW,T ROWE PRICE GROUP INC,8087,74144T10
10145,2024-12-30,43851610,HON,HONEYWELL INTERNATIONAL INC,22168,43851610
10145,2024-12-31,43851610,HON,HONEYWELL INTERNATIONAL INC,22168,43851610
10158,2024-12-30,02361E10,AMRC,AMERESCO INC,53454,02361E10
10158,2024-12-31,02361E10,AMRC,AMERESCO INC,53454,02361E10
10200,2024-12-30,75991610,RGEN,REPLIGEN CORP,8135,75991610
10200,2024-12-31,75991610,RGEN,REPLIGEN CORP,8135,75991610
10207,2024-12-30,85208J10,FUND,SPROTT FOCUS TRUST INC,9806,85208J10
10207,2024-12-31,85208J10,FUND,SPROTT FOCUS TRUST INC,9806,85208J10
10220,2024-12-30,05605H10,BWXT,B W X TECHNOLOGIES INC,53456,05605H10
10220,2024-12-31,05605H10,BWXT,B W X TECHNOLOGIES INC,53456,05605H10
10252,2024-12-30,45383610,INDB,INDEPENDENT BANK CORP MA,8179,45383610
10252,2024-12-31,45383610,INDB,INDEPENDENT BANK CORP MA,8179,45383610
10253,2024-12-30,26253C20,DSS,D S S INC,7922,26253C20
10253,2024-12-31,26253C20,DSS,D S S INC,7922,26253C20
