90384: MTL
77478: nan
93093: BTM
78186: nan
90965: BULK
83366: CRBO
58675: PKD
92400: LL
91655: ANW
91355: HINT
85349: MRA
90548: ARP
90067: HOS
82196: NNEXF
18403: JCP
89911: HUGO
11707: nan
93095: CLD
89289: STGS
89207: nan
21135: FOE
91237: VG
91983: CLR
51692: PIR
63781: UDE
93123: CO
85077: SRT
92354: PZN
85772: RAS
55213: MORR
92913: RST
86802: HGT
76961: nan
40416: AVP
90271: PGH
79464: SHI
89246: ACH
90537: nan
69892: DKNFA
87540: PC
88818: ERF
63765: SWN
92259: CZZ
92379: TGH
47677: CSN
89332: DDE
37284: TSO
84651: CBI
59089: OLOG
89817: TI
91750: FIG
88495: OEH
92239: CXO
89509: XEC
93001: VCP
88309: MBT
64020: LUB
18438: SCX
15069: X
90272: WCG
82298: DO
70332: APC
46392: JEFG
17523: SPA
92506: GTS
58501: NPD
89760: BBL
84668: TNH
92010: JMP
66245: MDCO
67838: CSS
89154: CSR
83450: GSH
90853: SSW
50788: ESL
89949: LFC
85939: CVH
75650: nan
89946: AEL
85616: LFL
88888: CEO
50702: PEI
87184: RHAT
91801: TTO
92188: WBC
91854: UFS
91389: VEH
22825: CHZC
83661: GNWR
17961: BGG
10952: nan
81049: VCO
12650: KSU
78763: nan
88282: CHU
65330: LM
68144: STI
90761: KYE
80185: PLT
10375: nan
46077: ITEL
92530: CPN
40440: DBD
86106: LHP
31077: CUB
42796: MDP
78137: nan
83720: FFG
81292: TRK
89541: EEQ
66835: BTY
75887: TKF
85425: FTE
75466: WBK
90253: HEP
86305: CVG
78916: nan
90499: FMO
85337: IBA
81598: AGMIF
88822: SYT
91635: DCT
88953: ABB
88668: MON
75416: RPS
90793: RDS
76515: DHC
88901: WEG
83186: DST
86314: XL
88590: DNB
77691: LDF
77418: nan
90524: EDR
68187: WRI
50585: HRE
78089: TCO
81675: SSS
86313: UBA
80691: LRY
76639: TSYS
80717: EOC
92980: TPZ
86021: LLL
81030: ENL
76602: PSM
85421: CHL
89014: COL
81521: APU
26614: SJI
76118: IRL
92272: IID
90300: ACC
89335: DCM
21231: WGL
43772: BMS
28310: UN
92271: HTY
77066: MSF
90762: LOR
89977: AHL
75032: APB
76246: SGF
77816: GCH
71271: Y
82855: EE
92171: INB
68021: LMC
24942: RTN
24432: KLT
75840: MFV
90068: MFD
77768: PX
92618: DPS
91974: AGC
80725: APF
89852: JDD
75233: LIG
79036: DDF
91414: FEO
86117: CWF
92128: JTD
23085: SCG
91138: FHY
92406: PKO
90651: MSP
80421: KST
89051: BBF
91568: DHG
93026: NEV
89811: MZF
77467: MYF
85340: MFL
89052: BNJ
11378: nan
12503: HR
14752: TPL
20765: GY
21152: CANNY
21186: W
26470: AGA
27043: VAR
27430: CTB
29867: DBRL
31500: EAVN
31974: FCE
35124: FAMR
43837: INHO
44951: SVU
45495: RDC
45728: nan
46340: SFE
46877: BCR
46922: RAD
51633: IGC
52716: HB
54578: LOM
59774: LDL
61778: KYO
61815: NBL
64629: MDR
64899: CDG
67467: CNS
70295: ZF
70420: BPL
72696: SPF
75041: FUN
75100: TIF
75241: PDP
75275: TTF
75316: BID
75341: DRE
75443: KMM
75459: MEN
75465: KSM
76477: ATK
76613: nan
77069: NUM
77071: NUO
77073: NTX
77466: MYC
77501: nan
77516: nan
77607: MYJ
77609: NXQ
77763: nan
77808: NXR
78056: MCA
78057: MFT
78852: DUC
78854: MNP
78877: nan
78963: nan
79048: NMY
79225: NTC
79226: NNC
79233: HR
79244: USG
79667: BKS
79767: ENI
79777: CBL
79891: GRR
79915: NFX
80113: nan
80303: AKST
80682: FGP
80926: CLNP
81038: HNP
81912: AVX
82859: REV
83421: SWZA
83462: TUP
83834: WG
84026: DVD
84103: METZ
84365: DEL
84375: TEN
84576: CEA
84734: FLGS
84772: GGY
84776: GCN
84780: KNL
85237: ELP
85653: FBG
85897: ANH
85908: GRA
85917: MHH
85931: WDR
85947: LHO
85951: OME
86023: MUS
86218: SJR
86341: AU
86416: TLI
86486: ICB
86560: ETM
86563: HT
86593: GBL
86889: DFXI
87133: BSD
87214: OMN
87268: CIR
87285: NSL
87844: PTR
88307: MVC
88660: SNP
88845: AET
88960: UDL
89182: BPK
89183: BLH
89184: BJZ
89281: AKP
89304: SXL
89361: BBK
89365: BQH
89398: AUO
89409: RGC
89517: JPS
89537: BSE
89538: BAF
89548: NCT
89581: CHA
89782: MNE
89839: BKK
89840: BFO
89901: WLL
89976: AUY
89990: JTA
90164: GHL
90269: JRO
90338: CPL
90346: TTM
90387: NWY
90392: GFY
90432: BCA
90434: FAM
90440: NP
90494: BBG
90507: MIC
90518: LCM
90531: PHH
90657: PAY
90698: TLP
90700: XRM
90703: TGP
90839: MGU
90843: OLA
90987: BWP
91037: AAV
91040: BAS
91044: DPM
91109: XCO
91390: WNS
91426: AYR
91452: KED
91525: IRR
91656: TOO
91692: HF
91813: CEL
91859: GFA
91973: ATV
91979: CAP
92020: SKH
92044: nan
92120: DEX
92144: SEP
92149: VTA
92154: YGE
92191: VR
92257: VMW
92263: FLY
92405: OZM
92672: WES
92728: DL
92748: NNA
92901: MTT
92902: BPI
92945: CYS
93031: REN
93071: VSI
93150: CIT
93175: KRA
