number,value,datetime_start,datetime_complete,duration,params_lambda,params_window_size,state
0,0.0,2026-03-31 16:50:15.519387,2026-03-31 16:50:16.932899,0 days 00:00:01.413512,0.005611516415334507,384,COMPLETE
1,0.0,2026-03-31 16:50:16.933435,2026-03-31 16:50:18.293134,0 days 00:00:01.359699,0.029106359131330698,264,COMPLETE
2,0.17729739729915545,2026-03-31 16:50:18.293715,2026-03-31 16:50:19.523075,0 days 00:00:01.229360,0.0020513382630874496,113,COMPLETE
3,0.24249751416924742,2026-03-31 16:50:19.523606,2026-03-31 16:50:20.998804,0 days 00:00:01.475198,0.0013066739238053278,355,COMPLETE
4,0.0,2026-03-31 16:50:20.999429,2026-03-31 16:50:22.526360,0 days 00:00:01.526931,0.015930522616241012,301,COMPLETE
5,0.0,2026-03-31 16:50:22.526876,2026-03-31 16:50:24.229355,0 days 00:00:01.702479,0.0010994335574766201,390,COMPLETE
6,0.0,2026-03-31 16:50:24.229827,2026-03-31 16:50:25.420771,0 days 00:00:01.190944,0.04622589001020832,132,COMPLETE
7,0.2133445463639077,2026-03-31 16:50:25.421213,2026-03-31 16:50:26.756890,0 days 00:00:01.335677,0.0023102018878452934,122,COMPLETE
8,0.24838784848393183,2026-03-31 16:50:26.757296,2026-03-31 16:50:28.163912,0 days 00:00:01.406616,0.004059611610484304,238,COMPLETE
9,0.0,2026-03-31 16:50:28.164825,2026-03-31 16:50:29.430235,0 days 00:00:01.265410,0.007309539835912915,159,COMPLETE
10,0.24333460242772345,2026-03-31 16:50:29.430794,2026-03-31 16:50:31.104731,0 days 00:00:01.673937,0.004194601131160368,193,COMPLETE
11,0.0,2026-03-31 16:50:31.105777,2026-03-31 16:50:32.416745,0 days 00:00:01.310968,0.004038532624194701,210,COMPLETE
12,0.0,2026-03-31 16:50:32.417257,2026-03-31 16:50:33.696162,0 days 00:00:01.278905,0.013527769084615445,207,COMPLETE
13,0.0,2026-03-31 16:50:33.696592,2026-03-31 16:50:35.081261,0 days 00:00:01.384669,0.003359181743274862,272,COMPLETE
14,0.0,2026-03-31 16:50:35.081741,2026-03-31 16:50:36.278813,0 days 00:00:01.197072,0.009756377654499417,64,COMPLETE
15,0.0,2026-03-31 16:50:36.279277,2026-03-31 16:50:37.548865,0 days 00:00:01.269588,0.08611382274356354,181,COMPLETE
16,0.0,2026-03-31 16:50:37.549276,2026-03-31 16:50:38.857412,0 days 00:00:01.308136,0.004568521423647299,242,COMPLETE
17,0.0,2026-03-31 16:50:38.857832,2026-03-31 16:50:40.450840,0 days 00:00:01.593008,0.0027485124761907824,317,COMPLETE
18,0.0,2026-03-31 16:50:40.451994,2026-03-31 16:50:41.679344,0 days 00:00:01.227350,0.021953400416606827,170,COMPLETE
19,0.0,2026-03-31 16:50:41.679789,2026-03-31 16:50:42.971813,0 days 00:00:01.292024,0.007709158256451342,233,COMPLETE
