number,value,state,params_lambda,user_attrs_kappa,user_attrs_kappa_tstat,user_attrs_r2_stage1,user_attrs_r2_stage2,user_attrs_score_kappa,user_attrs_score_kappa_tstat,user_attrs_score_stage1_r2,user_attrs_score_stage2_r2
0,0.33219267850782475,COMPLETE,6.0601531949393615e-06,0.021297492256372015,1.0374389246478188,0.9737559805369809,0.0005599020034658952,0.7436209875690166,0.07815140847642155,7.933579620948776e-93,0.5069983179858606
1,0.35909151586023236,COMPLETE,0.00026235026577403793,0.025427700093192746,1.2799914588538186,0.954368020283125,0.0008449361315259196,0.780979745680701,0.1448261867064733,8.737749812507291e-89,0.5105601310537551
2,0.3218339811192881,COMPLETE,2.7393501845016454e-05,0.018489902652218223,0.9692561247013691,0.9735355846245497,0.0004916185359539194,0.7159571339082207,0.06523386827447582,8.829297249334338e-93,0.506144922294456
3,0.5733908434280747,COMPLETE,5.176075523807715e-07,0.048558185221147104,2.4937520974720293,0.9737674016270149,0.0030514959327011537,0.9189309155976957,0.8365625829209654,7.889717067247358e-93,0.5380698751936374
4,0.3779671656487363,COMPLETE,4.857337581668129e-06,0.02865424638566097,1.3988346445810143,0.9737600835573479,0.0010023221974245766,0.8073235747728694,0.19201868204679617,7.917794092889281e-93,0.5125264057752796
5,0.3317111715472952,COMPLETE,1.9569491524098754e-05,0.020468831110026346,1.064159202208545,0.9736487226177095,0.0005902693980400775,0.7356424304237463,0.08382442381740345,8.357557995046284e-93,0.507377831948031
6,0.34496611182694653,COMPLETE,0.0001016374449058734,0.02259121503789171,1.1870221238296468,0.9706698769707622,0.0007309320064912139,0.7557578283037182,0.1149709857373822,3.539303787465215e-92,0.5091356332666859
7,0.3315509355692428,COMPLETE,9.916272937914907e-06,0.02078760638667877,1.0478827578906458,0.9737368116585112,0.0005718475607248141,0.7387304205855895,0.08032571412079663,8.007744940318033e-93,0.5071476075705852
8,0.3232184394435954,COMPLETE,4.9243039476440145e-05,0.01871848690295685,0.9861747621325812,0.9730250943373666,0.0005086116318343548,0.718275659459696,0.06824079552637762,1.131062692809166e-92,0.5063573027883083
9,0.3317034321847985,COMPLETE,1.9551847950621817e-05,0.020467981246716383,1.0640617719903125,0.9736489354994875,0.0005901617992067898,0.7356341665827119,0.08380307490107733,8.356694500009962e-93,0.5073764872554046
