window_size,n_lags,lambda,r2_insample_stage1,r2_oos_stage1,r2_insample_stage2,r2_oos_stage2,kappa,kappa_tstat,intercept,intercept_tstat,n_observations,n_windows,n_oos_predictions_stage2
30,3,0.0001,0.9617094067286525,-0.7500429674862739,-1.2943424110289925e-10,-0.000439642984878752,2.8842817810410882e-09,3.1703840266286206e-07,0.0004085128716889155,3.447961220556065,8406,8406,8305
30,3,0.001,0.7428516556372126,-0.46088446745693945,-5.706546346573305e-12,-0.0004626127583515771,1.6695559624713766e-10,1.4649401496685234e-08,0.0004085128716878466,3.447961222108231,8406,8406,8305
160,12,0.0001,0.9755565911352146,-0.8187581557549035,-2.731024295599127e-10,-0.0004802805904884355,2.995496104137176e-09,3.2283474666341065e-07,0.00040607822882091977,3.3844527489008827,8267,8267,8166
300,12,0.0001,0.9382887143223394,-0.9758991026131885,-1.9142420981665964e-10,-0.0004901660092022642,3.317649864498344e-09,4.095301390000545e-07,0.000398878310439687,3.2770164859771773,8127,8127,8026
80,12,0.0001,0.9821523266593309,-0.6038235723693961,-2.010029476195996e-09,-0.0005161850894592757,1.7604706350897684e-07,1.704414711737191e-05,0.00040813264954390544,3.4255366934186653,8347,8347,8246
160,3,0.001,0.19092566477765005,-0.20710892065267417,-3.312502494523528e-09,-0.0005771546626127666,7.968591271293661e-08,4.537431261937147e-06,0.00040411771099361805,3.3713605498904506,8276,8276,8175
160,7,0.0001,0.9613666531551054,-1.071239023081767,-1.817086481281649e-10,-0.0005820175238808734,6.874381013587274e-09,8.648708537415153e-07,0.0004046472039381433,3.374253613537133,8272,8272,8171
160,12,0.001,0.38270999146990947,-0.26641508537984104,-9.679876900037243e-10,-0.0006478834715983872,1.7124502227649802e-08,1.068278646744517e-06,0.00040607822882437176,3.3844527496357175,8267,8267,8166
300,7,0.0001,0.8683137212671094,-1.363850654492563,0.00018811599559698244,-0.0006780113901623253,0.008301043904982803,1.247129519408369,0.0003988731960103247,3.279173546070856,8132,8132,8031
80,7,0.0001,0.979238022336918,-0.738407309902297,-1.7528207107986304e-08,-0.000734784801418531,4.531763048573045e-06,0.00048013847093544143,0.00040611268789856356,3.4103986742774897,8352,8352,8251
500,7,0.001,0.04760805778102227,-0.029460948086241334,-2.482298810946304e-10,-0.0007579688762431314,4.145975179399656e-08,8.565588715311641e-07,0.00038413055027085666,3.0893120722946086,7932,7932,7831
160,3,0.0001,0.8536931920451948,-2.0944442371718806,-4.798774710934595e-10,-0.0008063107794473723,7.658943965598695e-09,1.4251789855129731e-06,0.0004041177109982142,3.37136055471242,8276,8276,8175
80,12,0.001,0.6291858419518027,-0.31893690283654097,1.5044498350436086e-06,-0.0008151976752743817,0.0015527127600681685,0.11236077951834271,0.0004081314427425793,3.4255291358371,8347,8347,8246
80,3,0.0001,0.9657918638718397,-1.3086109952754752,1.6494615829087955e-05,-0.0008496829754167656,0.0026225787947717592,0.3722709783250759,0.0004053859743783688,3.4056911476989975,8356,8356,8255
80,3,0.001,0.4357287224063255,-0.3629032512249015,1.380628450420307e-05,-0.00087691388472666,0.004347219955630718,0.3411711269894983,0.00040538694389262686,3.4056947187804054,8356,8356,8255
30,7,0.0001,0.963250548844243,-0.5257339402736956,-1.7354828685256507e-10,-0.0008979133619335666,2.730908050808302e-09,2.4731362354854687e-07,0.0004054217602100859,3.4211230316337775,8402,8402,8301
500,12,0.001,0.07356789921894828,-0.04260755704294339,-7.100986465502501e-13,-0.0009021948660854484,5.162961894178135e-11,1.3152362679106477e-09,0.00038803795431672367,3.1197279693953464,7927,7927,7826
300,3,0.0001,0.5277323577627369,-0.7760884538450108,0.00026097748078846017,-0.0009081177654841621,0.012224673012267885,1.4753512753153095,0.0004001295736027216,3.2909797372675995,8136,8136,8035
30,12,0.0001,0.9637503179177761,-0.4669789487868863,-1.5083123416914646e-08,-0.0009527089747836115,4.1464815787253405e-07,3.4904535493806724e-05,0.0004061749778021748,3.4260246099129668,8397,8397,8296
300,7,0.001,0.12951826512382936,-0.09891810410038682,-2.3543251792546016e-09,-0.0009606518899176741,5.849836074947899e-07,2.422909581360968e-05,0.0003988786331346561,3.278909791620983,8132,8132,8031
500,12,0.0001,0.8402148893982947,-1.0989940427431564,3.970230820216081e-06,-0.0009653936294089505,0.0013271970038598575,0.17760423752816118,0.0003880389465534115,3.1197421366298723,7927,7927,7826
300,3,0.001,0.06712650547308037,-0.05444358099581614,-3.7177163569879212e-09,-0.0009782464766217025,7.833544449794118e-07,2.42835939329371e-05,0.0004001198414813617,3.2904702378597728,8136,8136,8035
30,7,0.001,0.8033607189423139,-0.3600572624252638,-6.589617740360154e-12,-0.0009881275371512732,1.1933413573263237e-10,9.168262678232629e-09,0.0004054217602126178,3.421123022658401,8402,8402,8301
500,3,0.001,0.023130519289403996,-0.01278757459012736,-3.7790881535215703e-11,-0.0009935441881769869,9.664454280218092e-09,1.5302028540511466e-07,0.00038561654719702324,3.102435371467217,7936,7936,7835
500,3,0.0001,0.3175010718716173,-0.3326774058388433,1.8996476611077284e-05,-0.0010363972364659801,0.005131520804422963,0.3902933620037883,0.000385618912434647,3.1024838658773684,7936,7936,7835
300,12,0.001,0.1773725089508063,-0.11451359721936027,-7.16093850883226e-13,-0.0010528834215437488,3.5663187172135633e-11,1.5842979718060377e-09,0.0003988783104412355,3.2770164875624337,8127,8127,8026
30,12,0.001,0.8280179849248404,-0.33659288969251233,-5.346441733777851e-09,-0.0011171651306798314,1.8152031741040418e-07,1.3210559572227813e-05,0.0004061749781938253,3.4260246475820906,8397,8397,8296
500,7,0.0001,0.6512989510362414,-0.9772972641222626,1.7751460987813772e-05,-0.001132676167575175,0.003010921861522506,0.37627551091452377,0.00038413261113920107,3.089356064628309,7932,7932,7831
80,7,0.001,0.5654212424581826,-0.3493449361682244,0.00012073438984172569,-0.0012237772582348594,0.01331734921179987,1.0180325439542417,0.00040611103650149086,3.410590730243256,8352,8352,8251
160,7,0.001,0.3099906463332367,-0.24975717350154936,-6.003431085588318e-10,-0.002301610518701036,1.1447692535432444e-07,7.268896399010999e-06,0.0004046472039441637,3.3742536257973477,8272,8272,8171
