PERMNO	TICKER	COMNAM	PERMCO
10001	EWST	ENERGY WEST INC	7953
10001	EGAS	ENERGY INC	7953
10002	BTFG	BANCTRUST FINANCIAL GROUP INC	7954
10025	AEPI	A E P INDUSTRIES INC	7975
10026	JJSF	J & J SNACK FOODS CORP	7976
10028	DGC	D G S E COMPANIES INC	7978
10028	DGSE	D G S E COMPANIES INC	7978
10032	PLXS	PLEXUS CORP	7980
10044	RMCF	ROCKY MOUNTAIN CHOCOLATE FAC INC	7992
10051	HGR	HANGER ORTHOPEDIC GROUP INC	7999
10051		HANGER INC	7999
10065	ADX	ADAMS EXPRESS CO	20023
10078	JAVA	SUN MICROSYSTEMS INC	8021
10092	KDE	4 KIDS ENTERTAINMENT INC	8035
10100	AMCE	AMERICAN CLAIMS EVALUATION INC	8042
10100	ALRN	AMERICAN LEARNING CORP NY	8042
10104	ORCL	ORACLE CORP	8045
10107	MSFT	MICROSOFT CORP	8048
10113	AADR	ADVISORSHARES TRUST	53202
10116	ACUR	ACURA PHARMACEUTICALS INC	8028
10137	AYE	ALLEGHENY ENERGY INC	20045
10138	TROW	T ROWE PRICE GROUP INC	8087
10143	OSIP	O S I PHARMACEUTICALS INC	8092
10145	HON	HONEYWELL INTERNATIONAL INC	22168
10147	EMC	E M C CORP MA	8093
10151	GRV	ADVISORSHARES TRUST	53202
10151	AGLS	ADVISORSHARES TRUST	53202
10158	AMRC	AMERESCO INC	53454
10163	XRIT	X RITE INC	8106
10180	AKRX	AKORN INC	9743
10182	TECD	TECH DATA CORP	8125
10200	RGEN	REPLIGEN CORP	8135
10201	AT	ATLANTIC POWER CORP	53455
10205	LSBX	L S B CORP	8140
10207	FUND	ROYCE FOCUS TRUST INC	9806
10220	BWC	BABCOCK & WILCOX CO NEW	53456
10220	BWXT	B W X TECHNOLOGIES INC	53456
10223	CIS	CAMELOT INFORMATION SYSTEMS INC	53458
10225	FO	FORTUNE BRANDS INC	20067
10225	BEAM	BEAM INC	20067
10232	ESBK	ELMIRA SAVINGS BANK FSB NY	8158
10239	BWINB	BALDWIN & LYONS INC	714
10252	INDB	INDEPENDENT BANK CORP MA	8179
10253	DMC	DOCUMENT SECURITY SYSTEMS INC	7922
10253	DSS	DOCUMENT SECURITY SYSTEMS INC	7922
10257	TSTF	TEAMSTAFF INC	8185
10257	DLHC	D L H HOLDINGS CORP	8185
10258	CLDX	CELLDEX THERAPEUTICS INC	8186
10259	SIGM	SIGMA DESIGNS INC	8187
10272	TKLC	TEKELEC	8198
10290	HGIC	HARLEYSVILLE GROUP INC	8212
10294	HVT	HAVERTY FURNITURE COS INC	2089
10297	NHTB	NEW HAMPSHIRE THRIFT BNCSHRS INC	8217
10297	LSBG	LAKE SUNAPEE BANK GROUP	8217
10299	LLTC	LINEAR TECHNOLOGY CORP	8220
10302	CY	CYPRESS SEMICONDUCTOR CORP	8222
10304	AMFI	AMCORE FINANCIAL INC	8224
10308	TMP	TOMPKINS FINANCIAL CORP	8228
10318	BCPC	BALCHEM CORP	8237
10324	GENZ	GENZYME CORP	8243
10333	XOMA	XOMA LTD	8254
10353	ADPT	ADAPTEC INC	8275
10353	SXCL	STEEL EXCEL INC	8275
10355	DJCO	DAILY JOURNAL CORP	8278
10363	AMAG	A M A G PHARMACEUTICALS INC	8284
10371	CLZR	CANDELA CORP	8290
10375	TCB	T C F FINANCIAL CORP	8292
10375	TCF	T C F FINANCIAL CORP	8292
10382	ASTE	ASTEC INDUSTRIES INC	8299
10395	NAVG	NAVIGATORS GROUP INC	8314
10397	WERN	WERNER ENTERPRISES INC	8317
10404	DINE	REWARDS NETWORK INC	8321
10421	SKYW	SKYWEST INC	8340
10443	PATR	PATRIOT TRANSPORTATION HLDG INC	8360
10443	FRPH	F R P HOLDINGS INC	8360
10463	REFR	RESEARCH FRONTIERS INC	8377
10501	AMWD	AMERICAN WOODMARK CORP	8418
10507	MDCI	MEDICAL ACTION INDUSTRIES INC	7340
10514	TWMC	TRANS WORLD ENTERTAINMENT CORP	8431
10516	ADM	ARCHER DANIELS MIDLAND CO	20207
10517	RNT	AARON RENTS INC	5674
10517	AAN	AARONS INC	5674
10530	VIVO	MERIDIAN BIOSCIENCE INC	8441
10547	CLFD	CLEARFIELD INC	8458
10550	PDEX	PRO DEX INC COLO	8461
10562	SOV	SOVEREIGN BANCORP INC	8470
10563	HRZB	HORIZON FINANCIAL CORP WASH	8472
10568	SERV	SERVIDYNE INC	5580
