number,value,state,params_lambda,params_n_lags,params_window_size,user_attrs_kappa,user_attrs_kappa_tstat,user_attrs_r2_stage1,user_attrs_r2_stage2
0,-0.0,COMPLETE,1.7148801148362503e-05,24,130,2.133470481234024e-06,7.863942957166116e-05,0.9962615903976898,-5.982861606135259e-08
1,-0.0,COMPLETE,0.00018192788920753431,7,270,1.237254236960872e-06,5.325409863812588e-05,0.9286647317098119,-1.1894471363405046e-07
2,-0.0,COMPLETE,4.058621155745293e-05,4,80,1.1222157164896273e-07,4.921993312020957e-06,0.9925002813038216,-2.7237754274267445e-09
3,0.0012713550743330946,COMPLETE,0.0024830773898407636,23,300,0.4977717095602627,3.978416618050001,0.007528784519960484,0.0025540926692202426
4,-0.0,COMPLETE,0.0028965793249717095,1,70,2.1498197760159922e-05,0.00023377659745959655,0.052649339412448815,-7.988007388881613e-08
5,-0.0,COMPLETE,0.0007363332540128451,4,80,2.566622519016928e-08,8.414476656732503e-07,0.7835336989242867,-3.973166240456294e-10
6,-0.0,COMPLETE,0.009427525669311288,19,390,0.5,,-0.0010067095841617831,-2.2196744442481986e-09
7,-0.0,COMPLETE,0.0005925812216669261,15,340,7.800092962484525e-07,1.821617222451656e-05,0.5927835535503518,-2.4357369010630237e-08
8,0.0,COMPLETE,0.007070445433524713,4,20,0.017768922055177754,0.3083330889048121,0.021290735430867333,4.9494208609113244e-05
9,-0.0,COMPLETE,0.00444840405504959,6,290,0.5,,-0.0013088504484787655,-2.5033148887132484e-09
10,-0.0,COMPLETE,0.0006478626231000682,5,240,2.0334180091520688e-05,0.0005220821651661002,0.5155663251222545,-3.8172390581792115e-08
11,-0.0,COMPLETE,0.0001448866511559449,6,90,4.4018527240249775e-09,1.8172652840586436e-07,0.9839051102601237,-2.6324586954729057e-10
12,-0.0,COMPLETE,0.00024691341945623843,15,40,1.67036287098218e-06,5.450854797629705e-05,0.9747116183423673,-7.82989264536127e-08
13,-0.0,COMPLETE,0.00020255243594473275,7,120,7.925276488947395e-10,3.282953415723454e-08,0.9692440962860366,-1.1531020582822293e-10
14,-0.0,COMPLETE,0.008100480270117123,22,160,0.5,,-0.0028041316726437676,-3.895550548804749e-12
15,-0.0,COMPLETE,0.00699834458819683,1,160,0.5,,-0.002788300737800906,-2.071913751677812e-10
16,-0.0,COMPLETE,0.0076369194313163176,25,320,0.5,,-0.0011993040510978686,-3.91438390590082e-08
17,-0.0,COMPLETE,0.00309788759380465,1,260,0.5,,-0.0015071340789808126,-1.1097029961604221e-09
18,-0.0,COMPLETE,1.0492968438825512e-05,3,380,4.486276042107003e-08,4.359212767605443e-06,0.995261092500122,-3.256104275095595e-09
19,-0.0,COMPLETE,0.004553897428586773,3,190,0.5,,-0.002184678765489983,-2.360659445699298e-09
20,-0.0,COMPLETE,0.0010807409507128348,1,70,1.8698021551434888e-07,5.6283893100435576e-06,0.46145838771124215,-9.346347473737637e-09
21,0.00013217104053527988,COMPLETE,0.0025786710478658084,17,10,0.05244908199768498,2.2811335660954595,0.6114335574255416,0.0025199876814071542
22,0.0005726845414990363,COMPLETE,0.002900809293414266,16,240,0.3948241600265416,2.5396983158723083,0.0067870478951738275,0.0014504799844582417
23,-0.0,COMPLETE,0.0003845916851735444,25,230,1.0818596137077287e-07,3.3830141227073854e-06,0.8844671188704684,-3.172829332598326e-09
24,0.0,COMPLETE,0.003334573834035128,10,250,0.4238197584324865,0.23211636904728225,-0.0014069693730591397,1.1008806668932891e-05
25,-0.0,COMPLETE,5.636442104893767e-05,5,300,4.281079094236418e-09,2.415065938864952e-07,0.985189887689901,-2.5606294862257073e-10
26,-0.0,COMPLETE,0.0007983289280563749,18,240,1.008487566903695e-06,2.352180816796544e-05,0.565391344840396,-1.3176698843153645e-08
27,-0.0,COMPLETE,5.1974954765215626e-05,13,30,6.987174821657658e-06,0.0002297595960385757,0.973533334704726,-5.5365689144437624e-08
28,-0.0,COMPLETE,1.8137767226815912e-05,21,330,7.100603842166817e-08,2.852048295678555e-06,0.9982877015668185,-1.766056856311593e-09
