number,value,state,params_lambda,params_n_lags,params_window_size,user_attrs_kappa,user_attrs_kappa_tstat,user_attrs_r2_stage1,user_attrs_r2_stage2
0,-2.180994940204073e-09,COMPLETE,0.0015244386293093984,4,140,1.3032493168157794e-07,2.1850495894584617e-06,0.1991653851020671,-2.180994940204073e-09
1,-5.354801269064069e-08,COMPLETE,0.00037730376399260323,19,230,2.343668530162572e-06,7.628120528759446e-05,0.8771555739644673,-5.354801269064069e-08
2,-1.704536511937249e-09,COMPLETE,0.003163567379362874,12,160,1.583748485908061e-06,7.547170322627296e-06,0.014107006448143111,-1.704536511937249e-09
3,0.0006257024969459346,COMPLETE,0.002138413627601193,7,370,0.46020210162119585,1.801130839599514,0.0012610430518539095,0.0006257024969459346
4,0.0001020739675634541,COMPLETE,0.00013495060837000533,19,160,0.011075397843821675,0.42155771730648045,0.9858704575503547,0.0001020739675634541
5,0.00033132317291062474,COMPLETE,0.0036017657298854575,23,200,0.2824475933312143,1.0331813601651711,0.0034421953033509822,0.00033132317291062474
6,-2.9084956665315076e-11,COMPLETE,5.131662120184541e-05,15,260,3.9325444264747095e-10,1.5861135906569674e-08,0.9949217731942394,-2.9084956665315076e-11
7,-1.941076033240563e-08,COMPLETE,0.00024139280063314574,9,290,2.1642294856962624e-07,8.20010922522302e-06,0.8931325307553187,-1.941076033240563e-08
8,-1.761625822993551e-08,COMPLETE,0.007321624437635286,10,50,2.4318299809572303e-06,1.42157875189117e-05,0.0014262579795631162,-1.761625822993551e-08
9,-4.096391892360884e-09,COMPLETE,0.00043771829195773406,23,40,4.31627972795749e-07,1.2782167920248096e-05,0.9607193323496714,-4.096391892360884e-09
10,-3.6935439151619676e-09,COMPLETE,2.4335470586631643e-05,5,160,4.8844252415126055e-08,2.4339900662846057e-06,0.9963743467316518,-3.6935439151619676e-09
11,5.8276792741174255e-05,COMPLETE,0.0006953525250816728,14,30,0.010772727429276732,0.330717887431581,0.9273695013123802,5.8276792741174255e-05
12,0.00011227774352040587,COMPLETE,0.0015865798384680496,10,220,0.035951398887540245,0.4467600636458945,0.11399126091486783,0.00011227774352040587
13,-3.7940983688145025e-11,COMPLETE,0.006123923122699619,24,20,5.564547609077498e-10,1.0826998710450527e-08,0.09590942401077876,-3.7940983688145025e-11
14,-3.0880181522974226e-08,COMPLETE,0.00010525210390401374,12,270,4.869496584453012e-06,0.00019479243148721637,0.9809527312564092,-3.0880181522974226e-08
15,0.00013654781179128772,COMPLETE,1.1948727858523273e-05,13,190,0.011635379586655227,0.48420691809812055,0.9976635816181423,0.00013654781179128772
16,3.8455451993879564e-05,COMPLETE,0.0010382566042086063,23,340,0.016077285296119063,0.24564143016085374,0.2762494054148933,3.8455451993879564e-05
17,0.00038233279001909093,COMPLETE,0.0003464391184258759,1,30,0.017323835591228375,0.8558822768782763,0.9397678036527178,0.00038233279001909093
18,-3.379636615008508e-08,COMPLETE,1.4033109828958161e-05,3,250,5.423008832439749e-07,3.943257244804052e-05,0.9970393265001338,-3.379636615008508e-08
19,0.000914687697125327,COMPLETE,0.0001586751430507608,21,10,0.028880755059691964,1.3388905732621572,0.8813135997478383,0.000914687697125327
20,-7.415690284062748e-11,COMPLETE,0.0004489648566377331,15,70,2.150199738115558e-09,6.61017480566684e-08,0.9450637910515182,-7.415690284062748e-11
21,-6.813810782269059e-08,COMPLETE,1.600706092747805e-05,24,130,2.4757667011647067e-06,9.126357994676086e-05,0.996278975464701,-6.813810782269059e-08
22,-3.8316658734771636e-09,COMPLETE,1.58077768677844e-05,20,340,4.0983537863589737e-07,1.6182521564238083e-05,0.9984041663507003,-3.8316658734771636e-09
23,-1.379141245649862e-11,COMPLETE,0.006393791827281557,4,180,0.5,,-0.002321675094298876,-1.379141245649862e-11
24,-3.975198836769778e-09,COMPLETE,0.0012333922901861813,8,100,1.0121300520717286e-07,2.5957107284817745e-06,0.5383206648836009,-3.975198836769778e-09
25,-6.418819253894981e-09,COMPLETE,0.00500851741923893,9,70,5.131071237638525e-07,3.6291016013924595e-06,0.017941338764002505,-6.418819253894981e-09
26,-4.796871566625782e-09,COMPLETE,0.00019034933210582667,21,130,1.4643906143237486e-07,5.0590645894258405e-06,0.9797957072706344,-4.796871566625782e-09
27,-1.7935438023641836e-08,COMPLETE,0.0003523952320612682,5,300,5.478619674643308e-07,1.93040574026082e-05,0.7173919175853324,-1.7935438023641836e-08
28,-1.9216603863725368e-09,COMPLETE,0.008094658999499196,10,310,0.5,,-0.0012348376408067676,-1.9216603863725368e-09
29,1.297284021584133e-05,COMPLETE,1.7384138574617233e-05,20,100,0.00418164643308761,0.1518215069520368,0.9950197190483372,1.297284021584133e-05
30,-1.8507880783502628e-08,COMPLETE,0.00046080149479908457,11,100,6.752213713478371e-07,2.328674274770888e-05,0.9132942096047115,-1.8507880783502628e-08
31,0.0005511387974159732,COMPLETE,0.0011964263711340536,18,200,0.04542988553993967,1.0035458485166977,0.368597127647612,0.0005511387974159732
32,0.0003342746747987402,COMPLETE,0.0007535857346445859,3,350,0.04556144136336218,0.7488925323666985,0.20318038224548868,0.0003342746747987402
33,7.718407416623663e-05,COMPLETE,0.00173295176944373,20,100,0.018830970543536295,0.3757470294345209,0.3974899262289252,7.718407416623663e-05
34,0.0018810482150416474,COMPLETE,0.007121366206860062,16,10,0.0660194809919073,1.9969317722419484,0.05367557582898374,0.0018810482150416474
35,-1.192379528447418e-13,COMPLETE,0.006172296510221336,19,350,0.5,,-0.0011357675162094055,-1.192379528447418e-13
36,0.0006757655381348648,COMPLETE,0.0015855191799825762,12,240,0.09213488023117625,1.1560797698021041,0.10062693253873628,0.0006757655381348648
37,-6.405598274028534e-10,COMPLETE,0.0017961134756347842,4,400,3.5474069031853116e-07,5.460266165146169e-07,0.0027774829583803173,-6.405598274028534e-10
38,0.00017019470752588362,COMPLETE,4.457973877640681e-05,14,110,0.013562660370511403,0.5544765270533825,0.9947973281473135,0.00017019470752588362
