idx,doi,title,venue,date,openalex_id,has_abstract,abstract,error
1,10.1111/j.1467-9892.1985.tb00403.x,LEAST SQUARES ESTIMATES AND ORDER DETERMINATION PROCEDURES FOR AUTOREGRESSIVE PROCESSES WITH A TIME DEPENDENT VARIANCE,Journal of Time Series Analysis,1985-03,https://openalex.org/W2133409722,True,"Abstract. We study nonstationary autoregressive processes, where the variance of the generating white noise process is allowed to depend on time. It is shown that ordinary least squares estimates are strongly consistent and with a proper scaling factor asymptotically normal, but, as can be expected, they are not efficient. Furthermore, AIC type order determination criteria, used as if the underlying process is stationary, are consistent, whereas identification of order in terms of the partial autocorrelation function may lead one astray.",
2,10.1111/j.1467-9892.1988.tb00464.x,EFFICIENT ESTIMATION OF NONSTATIONARY TIME SERIES REGRESSION,Journal of Time Series Analysis,1988-05,https://openalex.org/W1979565425,True,"Abstract. A multiple time series regression model with trending regressors has residuals that are believed to be not only serially dependent but nonstationary. Assuming the residuals can be decomposed as a stationary autoregressive process of known order multiplied by an unknown time‐varying scale factor, we propose estimators of the regression coefficients and show them to be as efficient as estimators based on known scale factors. Our estimators have features in common with adaptive estimators proposed by Carroll (1982) and Hannan (1963) for different regression problems, involving respectively independent residuals with heteroskedasticity of unknown type, and stationary residuals with unknown serial dependence structure.",
3,10.1111/j.1467-9892.1989.tb00029.x,ESTIMATION OF AUTOREGRESSIVE MOVING‐AVERAGE MODELS VIA HIGH‐ORDER AUTOREGRESSIVE APPROXIMATIONS,Journal of Time Series Analysis,1989-05,https://openalex.org/W1996687657,True,"Abstract. In this paper the problem of estimating autoregressive moving‐average (ARMA) models is dealt with by first estimating a high‐order autoregressive (AR) approximation and then using the AR estimate to form the ARMA estimate. We show how to obtain an efficient ARMA estimate by allowing the order of the AR estimate to tend to infinity as the number of observations tends to infinity. This approach is closely related to the work of Durbin. By transforming the approach into the frequency domain, we can view it as an L 2 ‐norm model approximation of the relative error of the spectral factors. It can also be seen as replacing the periodogram estimate in the Whittle approach by a high‐order AR spectral density estimate. Since L 2 ‐norm approximation is a difficult task, we replace it by a modification of a recent model approximation technique called balanced model reduction. By an example, we show that this technique gives almost efficient ARMA estimates without the use of numerical optimization routines.",
4,10.1111/j.1467-9892.1993.tb00128.x,ESTIMATION OF THE NON‐STATIONARY FACTOR IN ARUMA MODELS,Journal of Time Series Analysis,1993-01,https://openalex.org/W1970985804,True,Abstract. Two methods for the estimation of the non‐stationary factor in ARUMA models are given. Both methods yield strongly consistent estimators and the roots of the corresponding filters lie on the unit circle.,
5,10.1111/j.1467-9892.1994.tb00213.x,COINTEGRATION AND COMMON FACTORS,Journal of Time Series Analysis,1994-11,https://openalex.org/W1985118187,True,"Abstract. Alternative common factor representations for cointegrated vectors are studied. This is done by embedding them into the dynamic factor model proposed by Peña and Box (Identifying a simplifying structure in time series. J. Am. Statist. Assoc. 82 (1987), 836–43). It is shown that dynamic factor models produce as a particular case the alternative common trend representations for cointegrated variables available in the literature. Furthermore a new normalization is proposed which has the advantage of producing common trend representations with moving‐average polynomials and under certain circumstances with uncorrelated shocks.",
6,10.1111/j.1467-9892.1996.tb00271.x,SPECTRAL ANALYSIS OF A STATIONARY BIVARIATE POINT PROCESS WITH APPLICATIONS TO NEUROPHYSIOLOGICAL PROBLEMS,Journal of Time Series Analysis,1996-03,https://openalex.org/W2007461203,True,Abstract. In this paper we discuss the spectral analysis of a stationary bivariate point process applied to the study of a complex physiological system. An estimate of the cross‐spectral density can be obtained by smoothing the modified cross‐periodogram statistic. The smoothed estimate is calculated by dividing the whole length of the data into a number of disjoint subrecords. Estimates of the coherence function and the cross‐intensity function follow directly from the estimate of the cross‐spectral density. It is shown that the asymptotic properties of the estimate of the cross‐intensity function can be improved by inserting a convergence factor in it. Examples of the estimates are illustrated by using two data sets from neurophysiological experiments and their importance is emphasized by examining the behaviour of the complex physiological system under study.,
7,10.1111/j.1467-9892.1996.tb00293.x,BIAS AND COVARIANCE OF THE RECURSIVE LEAST SQUARES ESTIMATOR WITH EXPONENTIAL FORGETTING IN VECTOR AUTOREGRESSIONS,Journal of Time Series Analysis,1996-11,https://openalex.org/W2043105712,True,"Abstract. The recursive least squares (RLS) estimation algorithm with exponential forgetting is commonly used to estimate time‐varying parameters in stochastic systems. The statistical properties of the RLS estimator are often hard to find, since they depend in a non‐linear way on the time‐varying characteristics. In this paper the RLS estimator with exponential forgetting factor is applied to stationary Gaussian vector autoregres‐sions and the asymptotic bias and covariance function of the parameter estimates are derived.",
8,10.1111/1467-9892.00042,TESTING FOR CYCLICAL NON‐STATIONARITY IN AUTOREGRESSIVE PROCESSES,Journal of Time Series Analysis,1997-03,https://openalex.org/W2043789727,True,This paper deals with the distributions evolving from the likelihood‐ratio test for the factor 1 − B n in the lag polynomial Φ( B ) under the basic assumption that the data series is generated by the autoregressive model Φ( B ) X t = ε t where {ε t } denotes Gaussian white noise. A characterization of the statistic and its asymptotic properties is given. Asymptotic and finite‐sample significance points are tabulated. The test procedure is illustrated by an economics example.,
9,10.1111/1467-9892.00082,Semiparametric Modeling of Seasonal Time Series,Journal of Time Series Analysis,1998-03,https://openalex.org/W2139758466,True,"Often, in practice, one may regard an observed time series as being composed of a function that is smooth over years, with additive seasonal effects. As a modification, we formulate a particular multiplicative model that expresses the observed data as a yearly trend function with additive amplitude‐modulated seasonal factors. Without smoothness restrictions on the yearly trend and modulation components, the least squares solutions for the seasonal components are shown to be proportional to the eigenvector corresponding to the maximum eigen value of the within‐season covariance matrix. If the trend and seasonal modulations are modeled as smooth splines, we give the comparable estimators for the smooth functions and the seasonal factors. We show consistency for the trend, modulation and seasonal factors as well as asymptotic normality for the seasonal estimates. Model selection, fitting and forecasting are considered for a quarterly earnings series that exhibits extreme nonlinear and nonstationary behavior. We compare the results with those obtained using a competing nonstationary multiplicative ARIMA model",
10,10.1111/j.1467-9892.1998.00105.x,A <i>k</i>‐Factor GARMA Long‐memory Model,Journal of Time Series Analysis,1998-07,https://openalex.org/W1994099724,True,"Long‐memory models have been used by several authors to model data with persistent autocorrelations. The fractional and fractional autoregressive moving‐average (FARMA) models describe long‐memory behavior associated with an infinite peak in the spectrum at f = 0. The Gegenbauer and Gegenbauer ARMA (GARMA) processes of Gray, Zhang and Woodward (On generalized fractional processes. J. Time Ser. Anal. 10 (1989), 233–57) can model long‐term periodic behavior for any frequency 0 ≤ f ≤ 0.5. In this paper we introduce a k ‐factor extension of the Gegenbauer and GARMA models that allows for long‐memory behavior to be associated with each of k frequencies in [0, 0.5]. We prove stationarity conditions for the k ‐factor model and discuss issues such as parameter estimation, model iden‐ tification, realization generation and forecasting. A two‐factor GARMA model is then applied to the Mauna Loa atmospheric CO 2 data. It is shown that this model provides a reasonable fit to the CO 2 data and produces excellent forecasts.",
11,10.1111/1467-9892.00144,Robust Estimation in Vector Autoregressive Moving‐Average Models,Journal of Time Series Analysis,1999-07,https://openalex.org/W2044749499,True,"Bustos and Yohai proposed a class of robust estimates for autoregressive moving‐average (ARMA) models based on residual autocovariances (RA estimates). In this paper an affine equivariant generalization of the RA estimates for vector ARMA processes is given. These estimates are asymptotically normal and, when the innovations have an elliptical distribution, their asymptotic covariance matrix differs only by a scalar factor from the covariance matrix corresponding to the maximum likelihood estimate. A Monte Carlo study confirms that the RA estimates are efficient under normal errors and robust when the sample contains outliers. A robust multivariate goodness‐of‐fit test based on the RA estimates is also obtained.",
12,10.1111/1467-9892.00575,Pooled Log Periodogram Regression,Journal of Time Series Analysis,2002-01,https://openalex.org/W2069670277,True,"Estimation of the memory parameter in time series with long range dependence is considered. A pooled log periodogram regression estimator is proposed that utilizes a set of mL periodogram ordinates with L →∞ rather than m ordinates as in the conventional log periodogram estimator. Consistency and asymptotic normality of the pooled regression estimator are established. The pooled estimator is shown to have smaller asymptotic variance, but larger asymptotic bias, than the conventional log periodogram estimator. Finite sample performance is assessed in simulations and the methods are illustrated in an empirical application with inflation and stock returns.",
13,10.1111/1467-9892.00271,Bayesian analysis of switching ARCH models,Journal of Time Series Analysis,2002-05,https://openalex.org/W1584510074,True,"We consider a time series model with autoregressive conditional heteroscedasticity that is subject to changes in regime. The regimes evolve according to a multistate latent Markov switching process with unknown transition probabilities, and it is the constant in the variance process of the innovations that is subject to regime shifts. The joint estimation of the latent process and all model parameters is performed within a Bayesian framework using the method of Markov chain Monte Carlo (MCMC) simulation. We perform model selection with respect to the number of states and the number of autoregressive parameters in the variance process using Bayes factors and model likelihoods. To this aim, the model likelihood is estimated by the method of bridge sampling. The usefulness of the sampler is demonstrated by applying it to the data set previously used by Hamilton and Susmel (1994 ) who investigated models with switching autoregressive conditional heteroscedasticity using maximum likelihood methods. The paper concludes with some issues related to maximum likelihood methods, to classical model selection, and to potential straightforward extensions of the model presented here.",
14,10.1111/1467-9892.00286,Bayesian methods for change‐point detection in long‐range dependent processes,Journal of Time Series Analysis,2002-11,https://openalex.org/W2154008832,True,"Abstract. We describe a Bayesian method for detecting structural changes in a long‐range dependent process. In particular, we focus on changes in the long‐range dependence parameter, d, and changes in the process level, μ. Markov chain Monte Carlo (MCMC) methods are used to estimate the posterior probability and size of a change at time t, along with other model parameters. A time‐dependent Kalman filter approach is used to evaluate the likelihood of the fractionally integrated ARMA model characterizing the long‐range dependence. The method allows for multiple change points and can be extended to the long‐memory stochastic volatility case. We apply the method to three examples, to investigate a change in persistence of the yearly Nile River minima, to investigate structural changes in the series of durations between intraday trades of IBM stock on the New York Stock Exchange, and to detect structural breaks in daily stock returns for the Coca Cola Company during the 1990s.",
15,10.1111/1467-9892.00283,Selecting the forgetting factor in subset autoregressive modelling,Journal of Time Series Analysis,2002-11,https://openalex.org/W2027837700,True,"Abstract. Conventional methods to determine the forgetting factors in autoregressive (AR) models are mostly based on arbitrary or personal choices. In this paper, we present two procedures which can be used to select the forgetting factor in subset AR modelling. The first procedure uses the bootstrap to determine the value of a fixed forgetting factor. The second procedure starts from this base and applies the time‐recursive maximum likelihood estimation to a variable forgetting factor. In one illustration using real exchange rates, we demonstrate the effect of the forgetting factor in subset AR modelling on ex ante forecasting of non‐stationary time series. In a second illustration, these two procedures are applied to time‐update forecasts for a stock market index. Subset AR models not including a forgetting factor act as a set of benchmarks for assessing ex ante forecasting performance, and consistently improved forecasting performance is demonstrated for these proposed procedures.",
16,10.1111/1467-9892.00292,On the efficacy of simulated maximum likelihood for estimating the parameters of stochastic differential Equations*,Journal of Time Series Analysis,2003-01,https://openalex.org/W2067557707,True,"Abstract. A method for estimating the parameters of stochastic differential equations (SDEs) by simulated maximum likelihood is presented. This method is feasible whenever the underlying SDE is a Markov process. Estimates are compared to those generated by indirect inference, discrete and exact maximum likelihood. The technique is illustrated with reference to a one‐factor model of the term structure of interest rates using 3‐month US Treasury Bill data.",
17,10.1111/1467-9892.00319,Decomposition of Time Series Dynamic Linear Models,Journal of Time Series Analysis,2003-09,https://openalex.org/W2136122010,True,"This paper derives the admissible decompositions for a time series dynamic linear model, assuming only that the model is observable. The decompositions depend on factorizations of the characteristic polynomial of the state evolution matrix G into relatively prime factors. This generalizes the method of West (1997 ) which considers one decomposition in the particular case where G is diagonalizable. Conditions are derived for a decomposition to be independent. These results show that no autoregressive process of order d has an independent decomposition for any integer d. Two illustrations of this procedure are discussed in detail.",
18,10.1111/j.1467-9892.2003.00331.x,Non‐Gaussian Filter and Smoother Based on the Pearson Distribution System,Journal of Time Series Analysis,2003-11,https://openalex.org/W2109869028,True,"The Pearson distribution system can represent wide class of distributions with various skewness and kurtosis. We develop a practical approach of using all types of its distribution system including the type‐IV distribution which was difficult to implement. We propose an easily implemented algorithm which uses less‐memory and performs at a higher speed than other typical methods: using analytic approximation of successive conditional probability density functions for prediction and filtering by the Pearson distribution system in the case of both the system and observation noise being one‐dimensional. By using the approximated probability density function and the numerical integration, we obtain mean, variance, skewness and kurtosis of the next distribution. We decide the next approximated distribution from the Pearson distribution system. We adopt these steps for the prediction, filtering and smoothing recursively. Our framework makes it possible to construct time series models with various noise distributions. We apply our non‐Gaussian filter to the estimation of non‐Gaussian stochastic volatility models of the stock returns. We compare our method with the typical method.",
