permno,sector,own_rate,other_rate,diff
90444,Utilities & Telecom,0.00040453076,0.0062302058,-0.005825675
70519,Financials,0.018483944,0.0082860235,0.010197921
83976,Consumer,0.008722695,0.004557639,0.0041650557
77857,Financials,0.015963405,0.005632576,0.01033083
12490,Technology,0.0009101942,0.004814795,-0.003904601
23085,Utilities & Telecom,0.0,0.0040269196,-0.0040269196
89882,Financials,0.0043876027,0.004096731,0.0002908716
92655,Financials,0.000373413,0.0047412375,-0.0043678246
10952,Financials,0.014609784,0.00817632,0.0064334637
29647,Utilities & Telecom,0.0,0.005613676,-0.005613676
62068,Financials,0.010268858,0.00983901,0.00042984728
81044,Industrials,0.005764563,0.004682883,0.00108168
93094,Energy & Mining,0.004550971,0.004082683,0.00046828808
79235,Financials,0.014469754,0.005608579,0.008861175
18956,Financials,0.021517923,0.007195848,0.014322075
91707,Energy & Mining,0.005157767,0.011598379,-0.0064406125
23931,Utilities & Telecom,0.005461165,0.001966409,0.0034947563
78059,Financials,0.005787901,0.007086145,-0.0012982441
91567,Financials,0.013862957,0.005519445,0.008343512
52936,Financials,0.006721434,0.004316137,0.002405297
76136,Financials,0.01923077,0.007315835,0.011914935
75183,Financials,0.018343912,0.008529428,0.009814484
87043,Technology,0.0071804207,0.0047554346,0.002424986
18964,Financials,0.01549664,0.0071238554,0.008372784
77920,Financials,0.0039208364,0.0033802313,0.00054060505
89056,Financials,0.018437266,0.0042132908,0.014223976
27909,Consumer,0.002351335,0.0041842256,-0.0018328906
84781,Financials,0.005974608,0.005516017,0.00045859115
86754,Financials,0.011855862,0.0053377487,0.0065181134
39731,Utilities & Telecom,0.0,0.004270287,-0.004270287
88310,Financials,0.010969006,0.006541057,0.0044279494
90312,Industrials,0.012135923,0.0042706574,0.007865265
77120,Financials,0.0057879016,0.007463249,-0.0016753473
92854,Industrials,0.030339807,0.0029515356,0.027388271
90340,Financials,0.02319828,0.016503483,0.0066947974
10693,Healthcare,0.0144114075,0.0067530535,0.007658354
85636,Financials,0.017130323,0.007730651,0.009399671
13928,Energy & Mining,0.0014158576,0.009583421,-0.008167563
91133,Financials,0.0107823005,0.0053754593,0.005406841
80725,Financials,0.022731515,0.007093001,0.015638513
91629,Financials,0.01409634,0.005385744,0.008710597
93054,Financials,0.01727035,0.0029654158,0.014304935
90373,Financials,0.0107823005,0.004525259,0.0062570414
89049,Financials,0.0052277823,0.007384401,-0.0021566185
86942,Financials,0.024411876,0.005159481,0.019252395
77925,Financials,0.010175505,0.004295568,0.0058799367
62498,Industrials,0.01314725,0.0037792847,0.009367965
88660,Energy & Mining,0.00020226538,0.006394443,-0.0061921775
89810,Industrials,0.022754854,0.010820097,0.011934756
86949,Industrials,0.01355178,0.0032549335,0.010296847
75459,Financials,0.016990293,0.0060679615,0.010922331
71079,Financials,0.020257656,0.0068358835,0.013421772
90103,Financials,0.02641897,0.0065067746,0.019912196
85414,Financials,0.012042568,0.005306895,0.006735673
79226,Financials,0.009522032,0.0070484346,0.0024735974
92543,Financials,0.012836073,0.0025951676,0.010240905
61815,Energy & Mining,0.0,0.0056029707,-0.0056029707
87666,Financials,0.01479649,0.005409742,0.009386748
89053,Financials,0.006581404,0.0041241567,0.002457247
20053,Financials,0.0005601195,0.007843783,-0.0072836634
24969,Utilities & Telecom,0.0,0.004555838,-0.004555838
79918,Financials,0.016803585,0.004895508,0.011908077
14752,Financials,0.00056011946,0.0051834784,-0.004623359
91801,Financials,0.00704817,0.0076175192,-0.00056934915
71722,Financials,0.0009802091,0.0050120675,-0.0040318584
32942,Technology,0.005360032,0.0061141304,-0.0007540984
80204,Energy & Mining,0.0046521034,0.0037463065,0.0009057969
92010,Financials,0.002847274,0.0049126493,-0.0020653752
89236,Financials,0.0007935026,0.004436125,-0.0036426224
90050,Financials,0.01353622,0.0050772033,0.008459017
60206,Consumer,0.002503034,0.005834578,-0.003331544
85254,Consumer,0.0018203884,0.0034007253,-0.001580337
79644,Consumer,0.0052336166,0.0039775153,0.0012561013
77878,Financials,0.005274459,0.00386704,0.0014074189
82932,Industrials,0.0,0.00416183,-0.00416183
17830,Industrials,0.0207322,0.0062823184,0.014449881
79663,Energy & Mining,0.0,0.003858432,-0.003858432
93093,Utilities & Telecom,0.0,0.010062432,-0.010062432
79461,Financials,0.0133028375,0.0075832377,0.0057196
85905,Financials,0.014189694,0.0073878285,0.0068018655
82855,Utilities & Telecom,0.0,0.0039457968,-0.0039457968
90056,Financials,0.01563667,0.011988509,0.00364816
34032,Industrials,0.006169094,0.008900776,-0.0027316818
84386,Financials,0.03220687,0.0034830787,0.028723791
86556,Financials,0.0069081406,0.0050429213,0.0018652193
32870,Consumer,0.00022754855,0.0024571908,-0.0022296421
28484,Energy & Mining,0.0,0.005233616,-0.005233616
47941,Industrials,0.003843042,0.0043168264,-0.00047378428
32678,Industrials,0.0059668287,0.008511635,-0.0025448059
91547,Technology,0.007483819,0.006222958,0.0012608608
89428,Financials,0.02791262,0.0068324553,0.021080166
93026,Financials,0.02072442,0.0067844605,0.013939959
90993,Financials,0.01960418,0.0052863252,0.014317855
31500,Financials,0.01769044,0.0058314134,0.011859028
83011,Consumer,0.0047785197,0.004737678,4.0841755e-05
89541,Energy & Mining,0.0020226538,0.0101242615,-0.008101608
92271,Financials,0.0017270352,0.002739153,-0.001012118
75152,Financials,0.010128827,0.0071718507,0.0029569762
91237,Utilities & Telecom,0.0,0.0041372464,-0.0041372464
88593,Financials,0.0040608663,0.002221491,0.0018393754
90041,Financials,0.017877148,0.0046829577,0.01319419
54199,Utilities & Telecom,0.0,0.002307123,-0.002307123
79444,Energy & Mining,0.006371359,0.017062843,-0.010691484
89840,Financials,0.009615385,0.008536285,0.0010791002
22293,Industrials,0.016585762,0.008653441,0.00793232
88391,Energy & Mining,0.0,0.0048576663,-0.0048576663
89812,Financials,0.016663555,0.009208217,0.007455338
85645,Consumer,0.0,0.00445095,-0.00445095
75825,Energy & Mining,0.0,0.004089278,-0.004089278
86223,Utilities & Telecom,0.0,0.013323555,-0.013323555
89016,Energy & Mining,0.0,0.0071430453,-0.0071430453
89437,Financials,0.0014469753,0.00481323,-0.0033662547
77691,Financials,0.01465646,0.0037059127,0.010950547
82298,Energy & Mining,0.012439321,0.006387848,0.006051473
78077,Industrials,0.0023260517,0.008204938,-0.005878886
50702,Financials,0.01465646,0.008135181,0.006521279
89766,Financials,0.01867065,0.007154709,0.0115159415
59408,Financials,0.02473861,0.009537326,0.015201284
87445,Technology,0.00788835,0.008518231,-0.0006298814
89139,Financials,0.004901046,0.005831414,-0.00093036797
35991,Industrials,0.009000809,0.003317592,0.005683217
10874,Industrials,0.01688916,0.0067473087,0.010141851
64929,Energy & Mining,0.010517799,0.0088645,0.0016532997
37284,Energy & Mining,0.007787217,0.0048939423,0.0028932746
80008,Financials,0.020397685,0.0076895123,0.012708173
88873,Technology,0.0028317152,0.0034099303,-0.0005782151
62391,Financials,0.0010735623,0.009479047,-0.008405484
90685,Financials,0.0301531,0.010925759,0.01922734
78170,Energy & Mining,0.0023260517,0.0117368875,-0.009410836
79667,Consumer,0.0018962378,0.0070048277,-0.00510859
90067,Energy & Mining,0.0027305826,0.004798306,-0.0020677235
65947,Financials,0.015776698,0.005372031,0.010404667
64194,Financials,0.012322629,0.007878065,0.0044445638
40539,Consumer,0.0021996358,0.0035007473,-0.0013011114
79049,Financials,0.01923077,0.0064382097,0.01279256
89199,Financials,0.008075057,0.007408398,0.0006666584
27511,Financials,0.020397684,0.006517059,0.013880624
28345,Energy & Mining,0.0043487055,0.009454807,-0.0051061017
69761,Financials,0.023478342,0.006479348,0.016998995
88673,Consumer,0.005840413,0.004227569,0.001612844
92528,Industrials,0.0,0.003683648,-0.003683648
12076,Consumer,0.0024271845,0.0050544115,-0.002627227
38093,Financials,0.019324124,0.006527343,0.012796781
75274,Financials,0.0038274834,0.008135182,-0.0043076985
85246,Financials,0.011622479,0.007579809,0.00404267
75269,Financials,0.015169903,0.0059925406,0.009177363
89892,Financials,0.00401419,0.0076997974,-0.0036856076
47706,Industrials,0.007989482,0.0071364497,0.00085303234
75157,Financials,0.019324122,0.005022352,0.014301769
77860,Financials,0.008121733,0.0060439636,0.002077769
85265,Financials,0.021331217,0.00902652,0.012304697
86560,Utilities & Telecom,0.009101941,0.011113779,-0.0020118374
82646,Utilities & Telecom,0.004854369,0.0044455114,0.0004088576
92618,Consumer,0.008267596,0.003817481,0.0044501154
93123,Healthcare,0.0013652912,0.004446576,-0.0030812847
89217,Consumer,0.012060073,0.007498267,0.004561806
79210,Financials,0.026092231,0.0067741754,0.019318055
23229,Utilities & Telecom,0.0,0.0037121645,-0.0037121645
50585,Financials,0.0130227795,0.0032876697,0.009735109
14277,Consumer,0.0036407765,0.0049143815,-0.001273605
84365,Industrials,0.019316344,0.0051676603,0.014148683
10065,Financials,0.020024272,0.006931875,0.013092397
79777,Financials,0.012042569,0.005437168,0.006605401
77124,Financials,0.0049943994,0.006568482,-0.0015740828
90999,Energy & Mining,0.0056634303,0.009151408,-0.0034879781
89304,Utilities & Telecom,0.0,0.01235982,-0.01235982
86033,Financials,0.015823375,0.007785503,0.008037873
91684,Financials,0.01923077,0.0072781253,0.011952644
80681,Financials,0.016710231,0.0062428005,0.010467431
26710,Financials,0.008775205,0.0051354836,0.0036397218
92793,Energy & Mining,0.00030339806,0.008102708,-0.0077993097
81655,Consumer,0.0033373786,0.005764563,-0.0024271845
19583,Financials,0.012415982,0.0064450656,0.0059709162
91321,Energy & Mining,0.00020226538,0.008762267,-0.008560002
77548,Financials,0.01176251,0.0060405354,0.0057219747
68021,Financials,0.012462659,0.0061708074,0.0062918514
76224,Technology,0.00010113269,0.0075486754,-0.0074475426
80168,Financials,0.0009802091,0.0043949867,-0.0034147776
88845,Financials,0.0,0.0038670395,-0.0038670395
86896,Financials,0.015169903,0.004994926,0.010174977
81046,Industrials,0.008191748,0.0052303188,0.0029614288
80169,Financials,0.008541822,0.006417641,0.0021241815
10890,Technology,0.016990291,0.005124789,0.011865502
85349,Industrials,0.0068770223,0.006318594,0.00055842847
89842,Financials,0.020397684,0.0058416985,0.014555985
58675,Energy & Mining,0.00010113269,0.0059525375,-0.0058514047
91374,Financials,0.02394511,0.0076963687,0.01624874
16678,Consumer,0.0,0.0027439187,-0.0027439187
79665,Financials,0.0008401793,0.0048543694,-0.0040141903
88683,Technology,0.0037419095,0.0039474727,-0.00020556315
15202,Energy & Mining,0.001618123,0.0045872466,-0.0029691234
22779,Technology,0.0018203884,0.003449504,-0.0016291157
90756,Industrials,0.01769822,0.004593842,0.013104379
11731,Consumer,0.004095874,0.005247786,-0.0011519124
83264,Industrials,0.0207322,0.008732588,0.011999612
92406,Financials,0.0064880503,0.007476962,-0.0009889118
84660,Consumer,0.0,0.0042108987,-0.0042108987
71271,Financials,0.01479649,0.005430311,0.009366179
