,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,r,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12,beta_13,beta_14,beta_15,beta_16,beta_17,beta_18,beta_19,beta_20
2000-01-01,-0.014238250364546312,0.012637284581291104,-0.008706617379590857,-0.002591732349343976,-0.0007534330701052097,-0.007408846520856091,-0.013677927017829435,0.006488928021930399,0.00361058113054895,-0.0195286306301219,0.023474096543788518,0.009684969057519236,-0.007593871804245066,0.009021982742122518,-0.004669531733205503,-0.0006068951873702798,0.007888443445192008,-0.012566681331396766,0.005758575143959287,0.013989789947237192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-02,0.013222980607327857,-0.0029969851529910545,0.009029193414250599,-0.01621582734182206,-0.0015818926067687129,0.00449483932106675,-0.01343601072486395,-0.0008168759069683368,0.017247399323163305,0.0261815942636784,0.007773613438107681,0.008286331955673406,-0.009589883130180108,-0.012093882869743163,-0.014122920134741184,0.005415468299050529,0.007519393955576869,-0.006587603195674529,-0.012286749856452768,0.002575577684128723,-7.970752989035952e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-03,0.0031290291843470044,-0.001308116902234399,0.012699831204679329,-0.0009296245773328372,-0.0006615088900166237,-0.011082144670930707,0.001359568505505236,0.013470777642972677,0.0006114402097600841,0.0007091460028470935,0.004336545370528693,0.00277483659870901,0.005302523866401211,0.005367209691186955,0.006183500148008289,-0.007950174561466702,0.003000309462866171,-0.016027015921637317,0.002667988297433962,-0.012616237817213792,-3.4872214226270947e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,-0.0007127080619178035,0.004740497302500454,-0.004148537610713306,0.0009771650001494637,-0.016404178369858732,-0.008572588238845005,0.006882817881370419,-0.011545295832450446,0.006504523890909877,-0.013883599526797446,-0.009073824573718444,-0.010954253073243774,7.145694940042956e-05,0.005343599029557071,-0.010658078466234504,-0.0018147274021444693,0.01621951798510875,-0.003173919456610792,-0.008158149668879264,0.0038657901734760187,6.141935589682306e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-05,-0.0022363892594857953,-0.007016908087073603,-0.017957131760562902,0.008183256215203523,-0.005710329017935901,7.855250625877609e-06,-0.010636427168871747,0.013017145000695741,0.0074787294214054625,0.009808759091945427,-0.001104186881258106,0.004679185306336984,0.008906071496948114,0.010230093656399772,0.0031238338941639767,-0.000619046856642053,-0.0035947964729832037,-0.0074864398429888125,-0.009654789074749039,0.0036003465737991375,-6.034041085390702e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-06,-0.0024455253226153603,-0.01995856611082977,-0.001552476168361552,0.01063830874667232,-0.002751715673396374,-0.018533359301507814,-0.001243419278483314,0.007849745223095677,0.0020199859674703098,-0.004280744427981763,0.018482888956341394,0.018999528926119894,-0.0009842503478028094,0.008134454397924209,0.003924943885517861,0.007814429004617205,0.014532715173139612,0.008201860453341153,0.0008770534456370666,-0.006535056482163788,-0.00012474894825826257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-07,-0.008118868792778379,-0.00025538172399663744,0.011581845431982978,0.003005208697022348,0.0005305664610327219,0.0025727152381254336,0.00035742862402861315,0.005472366858944854,-0.011229615793719292,-0.019752476678724065,-0.004251500496273028,-0.01149073821019038,0.016151380541856667,-0.001584768602278531,-0.0025287334532492606,-0.015381540345023311,0.0028208603286021404,-0.006236121342785569,0.011218222632388664,0.008412210310146858,3.260276023809083e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-08,-0.007758961005461539,0.004107164401705206,-0.027224161043317197,-0.006733047987738846,0.01246221529161101,0.007902080282018997,0.0017534088846317406,-0.0002929460164534772,-0.014195142573515425,-0.013599663240249162,0.0022341155858105104,0.017617794317958787,-0.0217088984670659,0.006284881710818028,0.006011965260018283,0.009507578580526359,-0.008692466670412093,-0.005290070709143675,0.00045684095556005797,-0.010275518112682734,-1.9933874585403497e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-09,-0.012292892985419785,-0.008833584719002474,-0.000708934636947166,0.003740533508588625,-0.00024593738361064867,0.0007726065834448787,-0.006839132179822825,-0.007208376678122494,0.01120622815042411,-0.0005481416026812425,-0.000824137241779902,0.009359865007909189,0.01238537124961559,0.012727955254673712,0.0040589221751361464,-0.0005032522141475025,0.0028931753889400546,0.0017930567677828916,0.013974805560965453,0.002920467917406912,-6.87785708271626e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-10,0.006384056743530921,-0.000278877131482307,0.013710518498340016,-0.020528076291125595,0.003805090783924121,0.00755390669317458,-0.011591258506012597,0.02150310114960522,-0.0015027021861875136,-0.001611642797660652,-0.010794424752754796,0.008779661844638976,0.0022446741387056883,-0.005915934535048691,0.002262628021856614,0.006861825069927677,0.012150046080596175,0.002160594414215084,-0.009648235572651652,-0.005566078046545982,2.375392099116292e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
